mysitename,lon,lat
AR-SLu,-66.4598,-33.4648
AR-Vir,-56.1886,-28.2395
AT-Neu,11.3175,47.1167
AU-ASM,133.249,-22.283
AU-Ade,131.1178,-13.0769
AU-Cpr,140.5891,-34.0021
AU-Cum,150.7225,-33.6133
AU-DaP,131.3181,-14.0633
AU-DaS,131.3881,-14.1593
AU-Dry,132.3706,-15.2588
AU-Emr,148.4746,-23.8587
AU-Fog,131.3072,-12.5452
AU-GWW,120.6541,-30.1913
AU-Gin,115.7138,-31.3764
AU-How,131.1523,-12.4943
AU-Lox,140.6551,-34.4704
AU-RDF,132.4776,-14.5636
AU-Rig,145.5759,-36.6499
AU-Rob,145.6301,-17.1175
AU-Stp,133.3502,-17.1507
AU-TTE,133.64,-22.287
AU-Tum,148.1517,-35.6566
AU-Wac,145.1878,-37.4259
AU-Whr,145.0294,-36.6732
AU-Wom,144.0944,-37.4222
AU-Ync,146.2907,-34.9893
BE-Bra,4.5206,51.3092
BE-Lon,4.7461,50.5516
BE-Vie,5.9981,50.3051
BR-Sa1,-54.9589,-2.8567
BR-Sa3,-54.9714,-3.018
CA-Gro,-82.1556,48.2167
CA-Man,-98.4808,55.8796
CA-NS1,-98.4839,55.8792
CA-NS2,-98.5247,55.9058
CA-NS3,-98.3822,55.9117
CA-NS4,-98.3822,55.9117
CA-NS5,-98.485,55.8631
CA-NS6,-98.9644,55.9167
CA-NS7,-99.9483,56.6358
CA-Oas,-106.1978,53.6289
CA-Obs,-105.1178,53.9872
CA-Qfo,-74.3421,49.6925
CA-SF1,-105.8176,54.485
CA-SF2,-105.8775,54.2539
CA-SF3,-106.0053,54.0916
CA-TP1,-80.5595,42.6609
CA-TP2,-80.4588,42.7744
CA-TP3,-80.3483,42.7068
CA-TP4,-80.3574,42.7102
CA-TPD,-80.5577,42.6353
CG-Tch,11.6564,-4.2892
CH-Cha,8.4104,47.2102
CH-Dav,9.8559,46.8153
CH-Fru,8.5378,47.1158
CH-Lae,8.365,47.4781
CH-Oe1,7.7319,47.2858
CH-Oe2,7.7343,47.2863
CN-Cha,128.0958,42.4025
CN-Cng,123.5092,44.5934
CN-Dan,91.0664,30.4978
CN-Din,112.5361,23.1733
CN-Du2,116.2836,42.0467
CN-Du3,116.2809,42.0551
CN-Ha2,101.3269,37.6086
CN-HaM,101.18,37.37
CN-Qia,115.0581,26.7414
CN-Sw2,111.8971,41.7902
CZ-BK1,18.5369,49.5021
CZ-BK2,18.5429,49.4944
CZ-wet,14.7704,49.0247
DE-Akm,13.6834,53.8662
DE-Geb,10.9143,51.1001
DE-Gri,13.5125,50.9495
DE-Hai,10.453,51.0792
DE-Kli,13.5225,50.8929
DE-Lkb,13.3047,49.0996
DE-Lnf,10.3678,51.3282
DE-Obe,13.7196,50.7836
DE-RuR,6.3041,50.6219
DE-RuS,6.4472,50.8659
DE-Seh,6.4497,50.8706
DE-SfN,11.3275,47.8064
DE-Spw,14.0337,51.8923
DE-Tha,13.5669,50.9636
DE-Zrk,12.8890,53.8759
DK-Eng,12.1918,55.6905
DK-Fou,9.5872,56.4842
DK-Sor,11.6446,55.4859
ES-Amo,-2.2523,36.8336
ES-LJu,-2.7521,36.9266
ES-LgS,-2.9658,37.0979
ES-Ln2,-3.4758,36.9695
FI-Hyy,24.295,61.8475
FI-Jok,23.5135,60.8986
FI-Let,23.9595,60.6418
FI-Lom,24.2092,67.9972
FI-Sod,26.6378,67.3619
FR-Fon,2.7801,48.4764
FR-Gri,1.9519,48.8442
FR-LBr,-0.7693,44.7171
FR-Pue,3.5958,43.7414
GF-Guy,-52.9249,5.2788
GH-Ank,-2.6942,5.2685
GL-NuF,-51.3861,64.1308
GL-ZaF,-20.5545,74.4814
GL-ZaH,-20.5503,74.4733
IT-BCi,14.9574,40.5238
IT-CA1,12.0266,42.3804
IT-CA2,12.026,42.3772
IT-CA3,12.0222,42.38
IT-Col,13.5881,41.8494
IT-Cp2,12.3573,41.7043
IT-Cpz,12.3761,41.7052
IT-Isp,8.6336,45.8126
IT-La2,11.2853,45.9542
IT-Lav,11.2813,45.9562
IT-MBo,11.0458,46.0147
IT-Noe,8.1515,40.6061
IT-PT1,9.061,45.2009
IT-Ren,11.4337,46.5869
IT-Ro1,11.93,42.4081
IT-Ro2,11.9209,42.3903
IT-SR2,10.291,43.732
IT-SRo,10.2844,43.7279
IT-Tor,7.5781,45.8444
JP-MBF,142.3186,44.3869
JP-SMF,137.0788,35.2617
MY-PSO,102.3062,2.9730
NL-Hor,5.0713,52.2404
NL-Loo,5.7436,52.1666
PA-SPn,-79.6346,9.3181
PA-SPs,-79.6314,9.3138
RU-Che,161.3414,68.613
RU-Cok,147.4943,70.8291
RU-Fyo,32.9221,56.4615
RU-Ha1,90.0022,54.7252
RU-Sam,126.4958,72.3738
RU-SkP,129.1680,62.2550
RU-Tks,128.8878,71.5943
RU-Vrk,62.9405,67.0547
SD-Dem,30.4783,13.2829
SE-St1,19.0503,68.3541
SJ-Adv,15.9230,78.1860
SJ-Blv,11.8311,78.9216
SN-Dhr,-15.4322,15.4028
US-AR1,-99.42,36.4267
US-AR2,-99.5975,36.6358
US-ARM,-97.4888,36.6058
US-ARb,-98.0402,35.5497
US-ARc,-98.04,35.5465
US-Atq,-157.4089,70.4696
US-Blo,-120.6328,38.8953
US-CRT,-83.3471,41.6285
US-Cop,-109.39,38.09
US-GBT,-106.2397,41.3658
US-GLE,-106.2399,41.3665
US-Goo,-89.8735,34.2547
US-Ha1,-72.1715,42.5378
US-IB2,-88.2410,41.8406
US-Ivo,-155.7503,68.4865
US-KS1,-80.6709,28.4583
US-KS2,-80.6715,28.6086
US-LWW,-97.9789,34.9604
US-Lin,-119.0922,36.3566
US-Los,-89.9792,46.0827
US-MMS,-86.4131,39.3232
US-Me1,-121.5,44.5794
US-Me2,-121.5574,44.4523
US-Me3,-121.6078,44.3154
US-Me4,-121.6224,44.4992
US-Me5,-121.5668,44.4372
US-Me6,-121.6078,44.3233
US-Myb,-121.7651,38.0498
US-NR1,-105.5464,40.0329
US-Ne1,-96.4766,41.1651
US-Ne2,-96.4701,41.1649
US-Ne3,-96.4397,41.1797
US-ORv,-83.0183,40.0201
US-Oho,-83.8438,41.5545
US-PFa,-90.2723,45.9459
US-Prr,-147.4876,65.1237
US-SRC,-110.8395,31.9083
US-SRG,-110.8277,31.7894
US-SRM,-110.8661,31.8214
US-Sta,-106.8024,41.3966
US-Syv,-89.3477,46.242
US-Ton,-120.966,38.4316
US-Tw1,-121.6469,38.1074
US-Tw2,-121.6433,38.1047
US-Tw3,-121.6467,38.1159
US-Tw4,-121.6414,38.103
US-Twt,-121.653,38.1087
US-UMB,-84.7138,45.5598
US-UMd,-84.6975,45.5625
US-Var,-120.9507,38.4133
US-WCr,-90.0799,45.8059
US-WPT,-82.9962,41.4646
US-Whs,-110.0522,31.7438
US-Wi0,-91.0814,46.6188
US-Wi1,-91.2329,46.7305
US-Wi2,-91.1528,46.6869
US-Wi3,-91.0987,46.6347
US-Wi4,-91.1663,46.7393
US-Wi5,-91.0858,46.6531
US-Wi6,-91.2982,46.6249
US-Wi7,-91.0693,46.6491
US-Wi8,-91.2524,46.7223
US-Wi9,-91.0814,46.6188
US-Wkg,-109.9419,31.7365
ZA-Kru,31.4969,-25.0197
ZM-Mon,23.2528,-15.4378
